0.216,0.0779807,0.0669891,0.0621691,0.0589223,0.0555861,0.0514621,0.0413756,0.032,0.0884107,0.0698045,0.063637
0.0726942,0.0650069,0.0609518,0.0578706,0.054191,0.0490041,0.032,0.032,0.0784227,0.0671285,0.0622604,0.0589915
0.0633557,0.0598213,0.0567028,0.0529293,0.045666,0.032,0.1077703,0.0729705,0.0651211,0.0610277,0.0579485,0.0542751
0.058784,0.0553984,0.0511825,0.0394348,0.032,0.0865764,0.0693895,0.063447,0.0598904,0.0567807,0.0530134,0.0459369
0.0540228,0.0486349,0.032,0.1949126,0.0775387,0.0668497,0.0620779,0.0588532,0.0554923,0.0513223,0.0404725,0.032
0.0451243,0.032,0.1034714,0.0724226,0.0648928,0.0608759,0.0577928,0.0541069,0.0488234,0.032,0.216,0.0779807
0.032,0.0849338,0.0690098,0.0632645,0.0597521,0.056625,0.0528451,0.0453952,0.032,0.1052105,0.0726942,0.0650069
0.0766548,0.0665709,0.0618953,0.0587149,0.0553046,0.0510427,0.0389232,0.032,0.0856875,0.0691848,0.0633557,0.0598213
0.0646644,0.0607242,0.0576371,0.0539386,0.0484295,0.032,0.183328,0.0770968,0.0667103,0.0619866,0.058784,0.0553984
0.0596138,0.0564693,0.0526769,0.0448277,0.032,0.1018423,0.0721511,0.0647786,0.0608,0.0577149,0.0540228,0.0486349
0.0551169,0.0507631,0.0379365,0.032,0.0841801,0.0688348,0.0631732,0.059683,0.0565471,0.052761,0.0451243,0.032
0.0480185,0.032,0.1583351,0.0762629,0.0664314,0.061804,0.0586457,0.0552107,0.0509029,0.0384298,0.032,0.0849338
0.032,0.0980539,0.071608,0.0645503,0.0606483,0.0575592,0.0538545,0.048224,0.032,0.1702564,0.0766548,0.0665709
0.0828675,0.0684848,0.0629906,0.0595447,0.0563914,0.0525928,0.0445091,0.032,0.0998284,0.0718795,0.0646644,0.0607242
0.0661526,0.0616347,0.0585074,0.055023,0.0506232,0.0374261,0.032,0.0835106,0.0686598,0.0630819,0.0596138,0.0564693
0.0604965,0.0574035,0.0536863,0.0478131,0.032,0.1494841,0.075878,0.066292,0.0617128,0.0585766,0.0551169,0.0507631
